time	I(L1)
3.004827000000000e-04	9.837694e-01
3.004881000000001e-04	9.721975e-01
3.004989000000003e-04	9.490669e-01
3.005205000000006e-04	9.028692e-01
3.005637000000012e-04	8.107538e-01
3.006501000000023e-04	6.276969e-01
3.008229000000047e-04	2.664062e-01
3.011685000000095e-04	-4.364551e-01
3.018597000000190e-04	-1.761285e+00
3.032421000000379e-04	-4.081608e+00
3.060069000000759e-04	-7.464072e+00
3.103603095398714e-04	-9.948756e+00
3.153927856611436e-04	-9.767210e+00
3.217113209386480e-04	-7.149118e+00
3.304349973357148e-04	-2.575140e+00
3.333500000000000e-04	-1.078384e+00
3.333730000000000e-04	-1.066640e+00
3.334190000000000e-04	-1.027168e+00
3.335110000000000e-04	-9.279578e-01
3.335800000000000e-04	-8.414155e-01
3.335820000000000e-04	-8.386149e-01
3.335860000000000e-04	-8.326846e-01
3.335940000000000e-04	-8.194188e-01
3.336000000000000e-04	-8.082054e-01
3.336006000000000e-04	-8.065039e-01
3.336017999999999e-04	-8.030973e-01
3.336041999999999e-04	-7.962757e-01
3.336090000000000e-04	-7.826269e-01
3.336185999999999e-04	-7.553414e-01
3.336377999999999e-04	-7.008538e-01
3.336761999999998e-04	-5.922532e-01
3.337529999999996e-04	-3.766133e-01
3.338500000000000e-04	-1.072911e-01
3.338597000000001e-04	-8.056815e-02
3.338791000000001e-04	-2.721673e-02
3.339179000000003e-04	6.680286e-02
3.339955000000006e-04	2.435602e-01
3.341507000000012e-04	5.845654e-01
3.344611000000025e-04	1.243394e+00
3.350819000000050e-04	2.485485e+00
3.363235000000100e-04	4.680202e+00
3.388067000000199e-04	7.980496e+00
3.437573568859832e-04	1.102263e+01
3.488121321373059e-04	1.069048e+01
3.554586157399536e-04	7.630547e+00
3.636100846826639e-04	2.931619e+00
3.666500000000000e-04	1.225504e+00
3.666800000000000e-04	1.208824e+00
3.667400000000000e-04	1.172590e+00
3.668600000000000e-04	1.084494e+00
3.669500000000000e-04	1.004141e+00
3.669520000000000e-04	1.002097e+00
3.669560000000000e-04	9.977345e-01
3.669640000000000e-04	9.875610e-01
3.669700000000000e-04	9.753903e-01
3.669706000000000e-04	9.739759e-01
3.669718000000000e-04	9.711445e-01
3.669742000000000e-04	9.654752e-01
3.669790000000000e-04	9.541353e-01
3.669885999999999e-04	9.314738e-01
3.670077999999999e-04	8.862497e-01
3.670461999999998e-04	7.962310e-01
3.671229999999996e-04	6.175526e-01
3.671500000000000e-04	5.550944e-01
3.671527000000001e-04	5.488607e-01
3.671581000000001e-04	5.364013e-01
3.671689000000003e-04	5.114919e-01
3.671905000000006e-04	4.617082e-01
3.672337000000012e-04	3.623494e-01
3.673201000000023e-04	1.646987e-01
3.674929000000047e-04	-2.254893e-01
3.678385000000095e-04	-9.842929e-01
3.685297000000190e-04	-2.413653e+00
3.699121000000379e-04	-4.918517e+00
3.726769000000759e-04	-8.584911e+00
3.779123416110928e-04	-1.156370e+01
3.832359556887065e-04	-1.091357e+01
3.901538674593397e-04	-6.152429e+00
3.979654514709454e-04	-8.367414e-01
4.000200000000000e-04	3.539431e-01
4.000430000000000e-04	3.667123e-01
4.000890000000000e-04	3.936144e-01
4.001810000000000e-04	4.560724e-01
4.002500000000000e-04	5.111189e-01
4.002520000000000e-04	5.129580e-01
4.002560000000000e-04	5.169656e-01
4.002640000000000e-04	5.263874e-01
4.002700000000000e-04	5.347031e-01
4.002706000000000e-04	5.355902e-01
4.002718000000000e-04	5.373657e-01
4.002742000000000e-04	5.409230e-01
4.002790000000000e-04	5.480523e-01
4.002885999999999e-04	5.623878e-01
4.003077999999999e-04	5.914103e-01
4.003461999999998e-04	6.508278e-01
4.004229999999996e-04	7.748838e-01
4.005200000000000e-04	9.415824e-01
4.005297000000000e-04	9.588071e-01
4.005491000000001e-04	9.931554e-01
4.005879000000002e-04	1.061564e+00
4.006655000000005e-04	1.197553e+00
4.008207000000010e-04	1.465350e+00
4.011311000000021e-04	1.985729e+00
4.017519000000042e-04	2.969061e+00
4.029935000000085e-04	4.705476e+00
4.054767000000171e-04	7.300975e+00
4.104431000000342e-04	9.668547e+00
4.159921120261939e-04	9.266426e+00
4.229741345596260e-04	6.511152e+00
4.317769935410347e-04	2.249130e+00
4.333200000000000e-04	1.480886e+00
4.333500000000000e-04	1.465910e+00
4.334100000000000e-04	1.433080e+00
4.335300000000000e-04	1.351714e+00
4.336200000000000e-04	1.276334e+00
4.336219999999999e-04	1.274399e+00
4.336259999999999e-04	1.270256e+00
4.336340000000000e-04	1.260521e+00
4.336399999999999e-04	1.248678e+00
4.336405999999999e-04	1.247296e+00
4.336417999999999e-04	1.244530e+00
4.336441999999999e-04	1.238992e+00
4.336489999999999e-04	1.227912e+00
4.336585999999999e-04	1.205765e+00
4.336777999999998e-04	1.161541e+00
4.337161999999997e-04	1.073410e+00
4.337929999999996e-04	8.984739e-01
4.338200000000000e-04	8.374071e-01
4.338227000000000e-04	8.313156e-01
4.338281000000001e-04	8.191420e-01
4.338389000000002e-04	7.948071e-01
4.338605000000005e-04	7.461761e-01
4.339037000000011e-04	6.491188e-01
4.339901000000023e-04	4.560320e-01
4.341629000000047e-04	7.472324e-02
4.345085000000094e-04	-6.671062e-01
4.351997000000189e-04	-2.065421e+00
4.365821000000379e-04	-4.519043e+00
4.393469000000759e-04	-8.120794e+00
4.443691050992685e-04	-1.102643e+01
4.496262352445038e-04	-1.056337e+01
4.563823697747432e-04	-6.120203e+00
4.640159623125534e-04	-1.063494e+00
4.666900000000000e-04	4.065872e-01
4.667129999999999e-04	4.184826e-01
4.667590000000000e-04	4.436425e-01
4.668510000000000e-04	5.026343e-01
4.669200000000000e-04	5.550968e-01
4.669219999999999e-04	5.568611e-01
4.669259999999999e-04	5.607194e-01
4.669340000000000e-04	5.698426e-01
4.669399999999999e-04	5.779343e-01
4.669405999999999e-04	5.787991e-01
4.669417999999999e-04	5.805297e-01
4.669441999999999e-04	5.839974e-01
4.669489999999999e-04	5.909421e-01
4.669585999999999e-04	6.049206e-01
4.669777999999998e-04	6.332399e-01
4.670161999999997e-04	6.912388e-01
4.670929999999996e-04	8.125798e-01
4.671900000000000e-04	9.758855e-01
4.671997000000000e-04	9.927578e-01
4.675516714285729e-04	1.592084e+00
4.679036428571457e-04	2.166505e+00
4.682556142857185e-04	2.716020e+00
4.686075857142914e-04	3.240630e+00
4.689595571428643e-04	3.740334e+00
4.693115285714371e-04	4.215133e+00
4.696635000000099e-04	4.665026e+00
4.721467000000199e-04	7.196288e+00
