time	I(L1)
3.334190000000000e-04	-1.597744e+00
3.335110000000000e-04	-1.549357e+00
3.335800000000000e-04	-1.506096e+00
3.335820000000000e-04	-1.504638e+00
3.335860000000000e-04	-1.501449e+00
3.335940000000000e-04	-1.493903e+00
3.335947500000000e-04	-1.493103e+00
3.335962500000000e-04	-1.491456e+00
3.335992500000000e-04	-1.486684e+00
3.336000000000000e-04	-1.485283e+00
3.336000750000000e-04	-1.485139e+00
3.336002250000000e-04	-1.484851e+00
3.336005250000000e-04	-1.484274e+00
3.336011250000000e-04	-1.483123e+00
3.336023250000000e-04	-1.480821e+00
3.336047249999999e-04	-1.476215e+00
3.336095249999998e-04	-1.466994e+00
3.336191249999996e-04	-1.448539e+00
3.336383249999992e-04	-1.411630e+00
3.336767249999984e-04	-1.337953e+00
3.337535249999969e-04	-1.191294e+00
3.338500000000000e-04	-1.008459e+00
3.338596475000003e-04	-9.902738e-01
3.338789425000010e-04	-9.539587e-01
3.339175325000022e-04	-8.816057e-01
3.339947125000047e-04	-7.377968e-01
3.341490725000097e-04	-4.532145e-01
3.344577925000198e-04	1.040527e-01
3.350752325000399e-04	1.014505e+00
3.363101125000800e-04	2.545371e+00
3.382843767441842e-04	4.494296e+00
3.422329052323927e-04	6.982787e+00
3.475688768204138e-04	8.047436e+00
3.541714415947914e-04	7.001734e+00
3.622802220161235e-04	4.070694e+00
3.666500000000000e-04	2.200325e+00
3.666800000000000e-04	2.186796e+00
3.667400000000000e-04	2.157358e+00
3.668600000000000e-04	2.085378e+00
3.669500000000000e-04	2.019392e+00
3.669520000000000e-04	2.017710e+00
3.669560000000000e-04	2.014118e+00
3.669640000000000e-04	2.005733e+00
3.669700000000000e-04	1.995681e+00
3.669706000000000e-04	1.994512e+00
3.669718000000000e-04	1.992172e+00
3.669742000000000e-04	1.987488e+00
3.669790000000000e-04	1.978115e+00
3.669885999999999e-04	1.959381e+00
3.670077999999999e-04	1.921970e+00
3.670461999999998e-04	1.847412e+00
3.671229999999996e-04	1.699235e+00
3.671500000000000e-04	1.647441e+00
3.671527000000001e-04	1.642271e+00
3.671581000000001e-04	1.631933e+00
3.671689000000003e-04	1.611271e+00
3.671905000000006e-04	1.570000e+00
3.673201000000023e-04	1.323911e+00
3.674929000000047e-04	9.999196e-01
3.678385000000095e-04	3.663236e-01
3.685297000000190e-04	-6.674095e-01
3.699121000000379e-04	-2.393378e+00
3.721546204522718e-04	-4.577369e+00
3.766396613567395e-04	-7.194345e+00
3.820645705241659e-04	-7.984456e+00
3.889552982885534e-04	-6.675290e+00
3.972839917145938e-04	-3.600866e+00
4.000200000000000e-04	-2.414768e+00
4.000430000000000e-04	-2.404437e+00
4.000890000000000e-04	-2.382678e+00
4.001810000000000e-04	-2.331826e+00
4.002500000000000e-04	-2.286698e+00
4.002520000000000e-04	-2.285185e+00
4.002560000000000e-04	-2.281887e+00
4.002640000000000e-04	-2.274124e+00
4.002647500000000e-04	-2.273304e+00
